BEFORE 3 	AFTER 0 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 262155 	AFTER 64 
BEFORE 282635 	AFTER 69 
BEFORE 4099 	AFTER 1 
BEFORE 319499 	AFTER 78 
BEFORE 192523 	AFTER 47 
BEFORE 204811 	AFTER 50 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 49163 	AFTER 12 
BEFORE 192523 	AFTER 47 
BEFORE 262155 	AFTER 64 
BEFORE 319499 	AFTER 78 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 262155 	AFTER 64 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 319499 	AFTER 78 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 253963 	AFTER 62 
BEFORE 131083 	AFTER 32 
BEFORE 4099 	AFTER 1 
BEFORE 184331 	AFTER 45 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 192523 	AFTER 47 
BEFORE 299019 	AFTER 73 
BEFORE 204811 	AFTER 50 
BEFORE 28683 	AFTER 7 
BEFORE 299019 	AFTER 73 
BEFORE 4099 	AFTER 1 
BEFORE 262155 	AFTER 64 
BEFORE 323595 	AFTER 79 
BEFORE 16395 	AFTER 4 
BEFORE 90123 	AFTER 22 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 36875 	AFTER 9 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 73739 	AFTER 18 
BEFORE 65539 	AFTER 16 
BEFORE 204811 	AFTER 50 
BEFORE 118795 	AFTER 29 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 90123 	AFTER 22 
BEFORE 122891 	AFTER 30 
BEFORE 204811 	AFTER 50 
BEFORE 12299 	AFTER 3 
BEFORE 184331 	AFTER 45 
BEFORE 188427 	AFTER 46 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 262155 	AFTER 64 
BEFORE 282635 	AFTER 69 
BEFORE 286731 	AFTER 70 
BEFORE 4099 	AFTER 1 
BEFORE 299019 	AFTER 73 
BEFORE 192523 	AFTER 47 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 204811 	AFTER 50 
BEFORE 4099 	AFTER 1 
BEFORE 49163 	AFTER 12 
BEFORE 262155 	AFTER 64 
BEFORE 299019 	AFTER 73 
BEFORE 12299 	AFTER 3 
BEFORE 262155 	AFTER 64 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 299019 	AFTER 73 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 253963 	AFTER 62 
BEFORE 131083 	AFTER 32 
BEFORE 4099 	AFTER 1 
BEFORE 184331 	AFTER 45 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 192523 	AFTER 47 
BEFORE 286731 	AFTER 70 
BEFORE 204811 	AFTER 50 
BEFORE 28683 	AFTER 7 
BEFORE 286731 	AFTER 70 
BEFORE 4099 	AFTER 1 
BEFORE 262155 	AFTER 64 
BEFORE 331787 	AFTER 81 
BEFORE 16395 	AFTER 4 
BEFORE 90123 	AFTER 22 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 36875 	AFTER 9 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 73739 	AFTER 18 
BEFORE 65539 	AFTER 16 
BEFORE 204811 	AFTER 50 
BEFORE 102411 	AFTER 25 
BEFORE 4099 	AFTER 1 
BEFORE 36875 	AFTER 9 
BEFORE 49163 	AFTER 12 
BEFORE 192523 	AFTER 47 
BEFORE 57355 	AFTER 14 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 118795 	AFTER 29 
BEFORE 4099 	AFTER 1 
BEFORE 122891 	AFTER 30 
BEFORE 204811 	AFTER 50 
BEFORE 102411 	AFTER 25 
BEFORE 49163 	AFTER 12 
BEFORE 192523 	AFTER 47 
BEFORE 90123 	AFTER 22 
BEFORE 4099 	AFTER 1 
BEFORE 102411 	AFTER 25 
BEFORE 135179 	AFTER 33 
BEFORE 12299 	AFTER 3 
BEFORE 184331 	AFTER 45 
BEFORE 188427 	AFTER 46 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 4099 	AFTER 1 
BEFORE 204811 	AFTER 50 
BEFORE 102411 	AFTER 25 
BEFORE 49163 	AFTER 12 
BEFORE 192523 	AFTER 47 
BEFORE 16395 	AFTER 4 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 12299 	AFTER 3 
BEFORE 20491 	AFTER 5 
BEFORE 262155 	AFTER 64 
BEFORE 49163 	AFTER 12 
BEFORE 331787 	AFTER 81 
BEFORE 204811 	AFTER 50 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 49163 	AFTER 12 
BEFORE 20491 	AFTER 5 
BEFORE 192523 	AFTER 47 
BEFORE 262155 	AFTER 64 
BEFORE 286731 	AFTER 70 
BEFORE 16395 	AFTER 4 
BEFORE 262155 	AFTER 64 
BEFORE 12299 	AFTER 3 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 20491 	AFTER 5 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 131083 	AFTER 32 
BEFORE 253963 	AFTER 62 
BEFORE 4099 	AFTER 1 
BEFORE 184331 	AFTER 45 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 192523 	AFTER 47 
BEFORE 290827 	AFTER 71 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 131083 	AFTER 32 
BEFORE 204811 	AFTER 50 
BEFORE 4099 	AFTER 1 
BEFORE 262155 	AFTER 64 
BEFORE 323595 	AFTER 79 
BEFORE 16395 	AFTER 4 
BEFORE 262155 	AFTER 64 
BEFORE 4099 	AFTER 1 
BEFORE 90123 	AFTER 22 
BEFORE 135179 	AFTER 33 
BEFORE 36875 	AFTER 9 
BEFORE 12299 	AFTER 3 
BEFORE 73739 	AFTER 18 
BEFORE 65539 	AFTER 16 
BEFORE 135179 	AFTER 33 
BEFORE 36875 	AFTER 9 
BEFORE 4099 	AFTER 1 
BEFORE 204811 	AFTER 50 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 118795 	AFTER 29 
BEFORE 122891 	AFTER 30 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 4099 	AFTER 1 
BEFORE 204811 	AFTER 50 
BEFORE 12299 	AFTER 3 
BEFORE 184331 	AFTER 45 
BEFORE 188427 	AFTER 46 
BEFORE 262155 	AFTER 64 
BEFORE 90123 	AFTER 22 
BEFORE 282635 	AFTER 69 
BEFORE 270347 	AFTER 66 
BEFORE 4099 	AFTER 1 
BEFORE 135179 	AFTER 33 
BEFORE 290827 	AFTER 71 
BEFORE 192523 	AFTER 47 
BEFORE 204811 	AFTER 50 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 49163 	AFTER 12 
BEFORE 192523 	AFTER 47 
BEFORE 262155 	AFTER 64 
BEFORE 290827 	AFTER 71 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 262155 	AFTER 64 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 290827 	AFTER 71 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 253963 	AFTER 62 
BEFORE 131083 	AFTER 32 
BEFORE 4099 	AFTER 1 
BEFORE 184331 	AFTER 45 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 192523 	AFTER 47 
BEFORE 311307 	AFTER 76 
BEFORE 204811 	AFTER 50 
BEFORE 28683 	AFTER 7 
BEFORE 311307 	AFTER 76 
BEFORE 4099 	AFTER 1 
BEFORE 262155 	AFTER 64 
BEFORE 323595 	AFTER 79 
BEFORE 16395 	AFTER 4 
BEFORE 90123 	AFTER 22 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 36875 	AFTER 9 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 73739 	AFTER 18 
BEFORE 65539 	AFTER 16 
BEFORE 204811 	AFTER 50 
BEFORE 118795 	AFTER 29 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 90123 	AFTER 22 
BEFORE 122891 	AFTER 30 
BEFORE 204811 	AFTER 50 
BEFORE 12299 	AFTER 3 
BEFORE 184331 	AFTER 45 
BEFORE 188427 	AFTER 46 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 262155 	AFTER 64 
BEFORE 270347 	AFTER 66 
BEFORE 4099 	AFTER 1 
BEFORE 311307 	AFTER 76 
BEFORE 192523 	AFTER 47 
BEFORE 204811 	AFTER 50 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 49163 	AFTER 12 
BEFORE 192523 	AFTER 47 
BEFORE 262155 	AFTER 64 
BEFORE 311307 	AFTER 76 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 262155 	AFTER 64 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 311307 	AFTER 76 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 253963 	AFTER 62 
BEFORE 131083 	AFTER 32 
BEFORE 4099 	AFTER 1 
BEFORE 184331 	AFTER 45 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 192523 	AFTER 47 
BEFORE 335883 	AFTER 82 
BEFORE 204811 	AFTER 50 
BEFORE 28683 	AFTER 7 
BEFORE 335883 	AFTER 82 
BEFORE 4099 	AFTER 1 
BEFORE 262155 	AFTER 64 
BEFORE 323595 	AFTER 79 
BEFORE 16395 	AFTER 4 
BEFORE 90123 	AFTER 22 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 36875 	AFTER 9 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 73739 	AFTER 18 
BEFORE 65539 	AFTER 16 
BEFORE 204811 	AFTER 50 
BEFORE 118795 	AFTER 29 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 90123 	AFTER 22 
BEFORE 122891 	AFTER 30 
BEFORE 204811 	AFTER 50 
BEFORE 12299 	AFTER 3 
BEFORE 184331 	AFTER 45 
BEFORE 188427 	AFTER 46 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 262155 	AFTER 64 
BEFORE 282635 	AFTER 69 
BEFORE 270347 	AFTER 66 
BEFORE 4099 	AFTER 1 
BEFORE 335883 	AFTER 82 
BEFORE 192523 	AFTER 47 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 204811 	AFTER 50 
BEFORE 4099 	AFTER 1 
BEFORE 49163 	AFTER 12 
BEFORE 262155 	AFTER 64 
BEFORE 335883 	AFTER 82 
BEFORE 12299 	AFTER 3 
BEFORE 262155 	AFTER 64 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 335883 	AFTER 82 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 253963 	AFTER 62 
BEFORE 131083 	AFTER 32 
BEFORE 4099 	AFTER 1 
BEFORE 184331 	AFTER 45 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 200715 	AFTER 49 
BEFORE 303115 	AFTER 74 
BEFORE 204811 	AFTER 50 
BEFORE 28683 	AFTER 7 
BEFORE 303115 	AFTER 74 
BEFORE 4099 	AFTER 1 
BEFORE 262155 	AFTER 64 
BEFORE 266251 	AFTER 65 
BEFORE 16395 	AFTER 4 
BEFORE 90123 	AFTER 22 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 36875 	AFTER 9 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 73739 	AFTER 18 
BEFORE 65539 	AFTER 16 
BEFORE 204811 	AFTER 50 
BEFORE 118795 	AFTER 29 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 90123 	AFTER 22 
BEFORE 122891 	AFTER 30 
BEFORE 204811 	AFTER 50 
BEFORE 12299 	AFTER 3 
BEFORE 184331 	AFTER 45 
BEFORE 188427 	AFTER 46 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 262155 	AFTER 64 
BEFORE 282635 	AFTER 69 
BEFORE 286731 	AFTER 70 
BEFORE 4099 	AFTER 1 
BEFORE 303115 	AFTER 74 
BEFORE 200715 	AFTER 49 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 204811 	AFTER 50 
BEFORE 4099 	AFTER 1 
BEFORE 49163 	AFTER 12 
BEFORE 192523 	AFTER 47 
BEFORE 262155 	AFTER 64 
BEFORE 303115 	AFTER 74 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 262155 	AFTER 64 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 28683 	AFTER 7 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 131083 	AFTER 32 
BEFORE 253963 	AFTER 62 
BEFORE 4099 	AFTER 1 
BEFORE 184331 	AFTER 45 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 192523 	AFTER 47 
BEFORE 339979 	AFTER 83 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 131083 	AFTER 32 
BEFORE 204811 	AFTER 50 
BEFORE 4099 	AFTER 1 
BEFORE 262155 	AFTER 64 
BEFORE 323595 	AFTER 79 
BEFORE 16395 	AFTER 4 
BEFORE 262155 	AFTER 64 
BEFORE 4099 	AFTER 1 
BEFORE 90123 	AFTER 22 
BEFORE 135179 	AFTER 33 
BEFORE 36875 	AFTER 9 
BEFORE 12299 	AFTER 3 
BEFORE 73739 	AFTER 18 
BEFORE 65539 	AFTER 16 
BEFORE 135179 	AFTER 33 
BEFORE 36875 	AFTER 9 
BEFORE 4099 	AFTER 1 
BEFORE 204811 	AFTER 50 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 118795 	AFTER 29 
BEFORE 122891 	AFTER 30 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 4099 	AFTER 1 
BEFORE 204811 	AFTER 50 
BEFORE 12299 	AFTER 3 
BEFORE 184331 	AFTER 45 
BEFORE 188427 	AFTER 46 
BEFORE 262155 	AFTER 64 
BEFORE 90123 	AFTER 22 
BEFORE 282635 	AFTER 69 
BEFORE 270347 	AFTER 66 
BEFORE 4099 	AFTER 1 
BEFORE 135179 	AFTER 33 
BEFORE 339979 	AFTER 83 
BEFORE 192523 	AFTER 47 
BEFORE 204811 	AFTER 50 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 49163 	AFTER 12 
BEFORE 192523 	AFTER 47 
BEFORE 262155 	AFTER 64 
BEFORE 339979 	AFTER 83 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 262155 	AFTER 64 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 339979 	AFTER 83 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 253963 	AFTER 62 
BEFORE 131083 	AFTER 32 
BEFORE 4099 	AFTER 1 
BEFORE 184331 	AFTER 45 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 192523 	AFTER 47 
BEFORE 258059 	AFTER 63 
BEFORE 204811 	AFTER 50 
BEFORE 28683 	AFTER 7 
BEFORE 258059 	AFTER 63 
BEFORE 4099 	AFTER 1 
BEFORE 262155 	AFTER 64 
BEFORE 323595 	AFTER 79 
BEFORE 16395 	AFTER 4 
BEFORE 90123 	AFTER 22 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 36875 	AFTER 9 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 73739 	AFTER 18 
BEFORE 65539 	AFTER 16 
BEFORE 204811 	AFTER 50 
BEFORE 118795 	AFTER 29 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 90123 	AFTER 22 
BEFORE 122891 	AFTER 30 
BEFORE 204811 	AFTER 50 
BEFORE 12299 	AFTER 3 
BEFORE 184331 	AFTER 45 
BEFORE 188427 	AFTER 46 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 262155 	AFTER 64 
BEFORE 270347 	AFTER 66 
BEFORE 4099 	AFTER 1 
BEFORE 258059 	AFTER 63 
BEFORE 192523 	AFTER 47 
BEFORE 204811 	AFTER 50 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 49163 	AFTER 12 
BEFORE 192523 	AFTER 47 
BEFORE 262155 	AFTER 64 
BEFORE 258059 	AFTER 63 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 262155 	AFTER 64 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 258059 	AFTER 63 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 253963 	AFTER 62 
BEFORE 131083 	AFTER 32 
BEFORE 4099 	AFTER 1 
BEFORE 184331 	AFTER 45 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 192523 	AFTER 47 
BEFORE 344075 	AFTER 84 
BEFORE 204811 	AFTER 50 
BEFORE 28683 	AFTER 7 
BEFORE 344075 	AFTER 84 
BEFORE 4099 	AFTER 1 
BEFORE 262155 	AFTER 64 
BEFORE 323595 	AFTER 79 
BEFORE 16395 	AFTER 4 
BEFORE 90123 	AFTER 22 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 36875 	AFTER 9 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 73739 	AFTER 18 
BEFORE 65539 	AFTER 16 
BEFORE 204811 	AFTER 50 
BEFORE 118795 	AFTER 29 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 90123 	AFTER 22 
BEFORE 122891 	AFTER 30 
BEFORE 204811 	AFTER 50 
BEFORE 12299 	AFTER 3 
BEFORE 184331 	AFTER 45 
BEFORE 188427 	AFTER 46 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 262155 	AFTER 64 
BEFORE 282635 	AFTER 69 
BEFORE 286731 	AFTER 70 
BEFORE 4099 	AFTER 1 
BEFORE 344075 	AFTER 84 
BEFORE 192523 	AFTER 47 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 204811 	AFTER 50 
BEFORE 4099 	AFTER 1 
BEFORE 49163 	AFTER 12 
BEFORE 262155 	AFTER 64 
BEFORE 344075 	AFTER 84 
BEFORE 12299 	AFTER 3 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 262155 	AFTER 64 
BEFORE 344075 	AFTER 84 
BEFORE 90123 	AFTER 22 
BEFORE 28683 	AFTER 7 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 131083 	AFTER 32 
BEFORE 253963 	AFTER 62 
BEFORE 4099 	AFTER 1 
BEFORE 184331 	AFTER 45 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 192523 	AFTER 47 
BEFORE 290827 	AFTER 71 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 131083 	AFTER 32 
BEFORE 204811 	AFTER 50 
BEFORE 4099 	AFTER 1 
BEFORE 262155 	AFTER 64 
BEFORE 323595 	AFTER 79 
BEFORE 16395 	AFTER 4 
BEFORE 262155 	AFTER 64 
BEFORE 4099 	AFTER 1 
BEFORE 90123 	AFTER 22 
BEFORE 135179 	AFTER 33 
BEFORE 36875 	AFTER 9 
BEFORE 12299 	AFTER 3 
BEFORE 73739 	AFTER 18 
BEFORE 65539 	AFTER 16 
BEFORE 135179 	AFTER 33 
BEFORE 36875 	AFTER 9 
BEFORE 4099 	AFTER 1 
BEFORE 204811 	AFTER 50 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 118795 	AFTER 29 
BEFORE 122891 	AFTER 30 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 4099 	AFTER 1 
BEFORE 204811 	AFTER 50 
BEFORE 12299 	AFTER 3 
BEFORE 184331 	AFTER 45 
BEFORE 188427 	AFTER 46 
BEFORE 262155 	AFTER 64 
BEFORE 90123 	AFTER 22 
BEFORE 282635 	AFTER 69 
BEFORE 270347 	AFTER 66 
BEFORE 4099 	AFTER 1 
BEFORE 135179 	AFTER 33 
BEFORE 290827 	AFTER 71 
BEFORE 192523 	AFTER 47 
BEFORE 204811 	AFTER 50 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 49163 	AFTER 12 
BEFORE 192523 	AFTER 47 
BEFORE 262155 	AFTER 64 
BEFORE 290827 	AFTER 71 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 262155 	AFTER 64 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 290827 	AFTER 71 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 253963 	AFTER 62 
BEFORE 131083 	AFTER 32 
BEFORE 4099 	AFTER 1 
BEFORE 184331 	AFTER 45 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 200715 	AFTER 49 
BEFORE 303115 	AFTER 74 
BEFORE 204811 	AFTER 50 
BEFORE 28683 	AFTER 7 
BEFORE 303115 	AFTER 74 
BEFORE 4099 	AFTER 1 
BEFORE 262155 	AFTER 64 
BEFORE 266251 	AFTER 65 
BEFORE 16395 	AFTER 4 
BEFORE 90123 	AFTER 22 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 36875 	AFTER 9 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 73739 	AFTER 18 
BEFORE 65539 	AFTER 16 
BEFORE 204811 	AFTER 50 
BEFORE 118795 	AFTER 29 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 90123 	AFTER 22 
BEFORE 122891 	AFTER 30 
BEFORE 262155 	AFTER 64 
BEFORE 204811 	AFTER 50 
BEFORE 12299 	AFTER 3 
BEFORE 184331 	AFTER 45 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 90123 	AFTER 22 
BEFORE 188427 	AFTER 46 
BEFORE 262155 	AFTER 64 
BEFORE 282635 	AFTER 69 
BEFORE 286731 	AFTER 70 
BEFORE 303115 	AFTER 74 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 90123 	AFTER 22 
BEFORE 200715 	AFTER 49 
BEFORE 204811 	AFTER 50 
BEFORE 49163 	AFTER 12 
BEFORE 192523 	AFTER 47 
BEFORE 262155 	AFTER 64 
BEFORE 4099 	AFTER 1 
BEFORE 135179 	AFTER 33 
BEFORE 303115 	AFTER 74 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 28683 	AFTER 7 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 131083 	AFTER 32 
BEFORE 253963 	AFTER 62 
BEFORE 4099 	AFTER 1 
BEFORE 184331 	AFTER 45 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 192523 	AFTER 47 
BEFORE 335883 	AFTER 82 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 131083 	AFTER 32 
BEFORE 204811 	AFTER 50 
BEFORE 4099 	AFTER 1 
BEFORE 262155 	AFTER 64 
BEFORE 266251 	AFTER 65 
BEFORE 16395 	AFTER 4 
BEFORE 262155 	AFTER 64 
BEFORE 4099 	AFTER 1 
BEFORE 90123 	AFTER 22 
BEFORE 135179 	AFTER 33 
BEFORE 36875 	AFTER 9 
BEFORE 12299 	AFTER 3 
BEFORE 73739 	AFTER 18 
BEFORE 65539 	AFTER 16 
BEFORE 135179 	AFTER 33 
BEFORE 36875 	AFTER 9 
BEFORE 4099 	AFTER 1 
BEFORE 204811 	AFTER 50 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 118795 	AFTER 29 
BEFORE 122891 	AFTER 30 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 4099 	AFTER 1 
BEFORE 204811 	AFTER 50 
BEFORE 12299 	AFTER 3 
BEFORE 184331 	AFTER 45 
BEFORE 188427 	AFTER 46 
BEFORE 262155 	AFTER 64 
BEFORE 90123 	AFTER 22 
BEFORE 282635 	AFTER 69 
BEFORE 270347 	AFTER 66 
BEFORE 4099 	AFTER 1 
BEFORE 135179 	AFTER 33 
BEFORE 335883 	AFTER 82 
BEFORE 192523 	AFTER 47 
BEFORE 204811 	AFTER 50 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 49163 	AFTER 12 
BEFORE 192523 	AFTER 47 
BEFORE 262155 	AFTER 64 
BEFORE 335883 	AFTER 82 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 262155 	AFTER 64 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 335883 	AFTER 82 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 253963 	AFTER 62 
BEFORE 131083 	AFTER 32 
BEFORE 4099 	AFTER 1 
BEFORE 184331 	AFTER 45 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 192523 	AFTER 47 
BEFORE 327691 	AFTER 80 
BEFORE 204811 	AFTER 50 
BEFORE 28683 	AFTER 7 
BEFORE 327691 	AFTER 80 
BEFORE 4099 	AFTER 1 
BEFORE 262155 	AFTER 64 
BEFORE 266251 	AFTER 65 
BEFORE 16395 	AFTER 4 
BEFORE 90123 	AFTER 22 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 36875 	AFTER 9 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 73739 	AFTER 18 
BEFORE 65539 	AFTER 16 
BEFORE 204811 	AFTER 50 
BEFORE 118795 	AFTER 29 
